Customer ID,Customer Segment,Date,Day of Week,Month,Payment Method,Product Category,Product Subcategory,Quarter,Region,Sales Channel,Transaction ID,Avg Order Value,Cost of Goods Sold,Discount %,Discount Applied,Gross Margin,Marketing Expense,Price per Unit,Product Rating,Profit,Quantity,Shipping Cost %,Shipping Expense,Tax,Total Sales
3872,Low-Value,23-09-2023,Saturday,September,Debit Card,Home & Kitchen,Decor,Q3,Uttarakhand,Online,217739,172389.28,133327.23,,,0.166028247,8782.73,43097.32,4.27,28621.49,4,0.009616781,1657.83,25628.37,172389.28
9547,High-Value,15-02-2023,Wednesday,February,Cash,Fashion,Clothing,Q1,Punjab,Retail Store,871623,37818.25,23505.57,1.322113001e-06,0.05,0.268873626,2471.07,7563.65,4.99,10168.33,5,0.044245305,1673.28,3095.53,37818.25
1424,Mid-Value,13-04-2023,Thursday,April,Cash,Beauty,Skincare,Q2,Madhya Pradesh,Offline,679314,70289.7,44815.52,7.113417755e-07,0.05,0.278828619,5434.42,35144.85,4.5,19598.78,2,0.006273750,440.98,9306.32,70289.7
2145,Low-Value,18-08-2023,Friday,August,Debit Card,Electronics,Audio Player,Q3,Uttarakhand,Offline,511871,22046.68,15221.24,4.535830338e-06,0.1,0.136221417,2167.43,5511.67,4.09,3003.23,4,0.075058013,1654.78,1204.28,22046.68
1073,Low-Value,02-07-2023,Sunday,July,Cash,Electronics,Mobiles,Q3,Gujarat,Retail Store,874445,35863.98,25176.4,2.788312954e-06,0.1,0.220373478,2570.18,35863.98,3.72,7903.47,1,0.005965038,213.93,2859.17,35863.98
7755,High-Value,17-02-2023,Friday,February,Cash,Home & Kitchen,Appliances,Q1,Uttarakhand,Offline,223018,98855,63722.63,1.011582621e-06,0.1,0.282639421,6931.23,49427.5,3.59,27940.32,2,0.002638410,260.82,12506.96,98855
8409,Low-Value,05-06-2023,Monday,June,Debit Card,Fashion,Accessories,Q2,Himachal Pradesh,Offline,960617,61106.85,47149.1,,,0.132662868,4847.13,20368.95,3.16,8106.61,3,0.016430400,1004.01,8184.27,61106.85
7701,Low-Value,14-12-2023,Thursday,December,Cash,Fashion,Shoes,Q4,Uttarakhand,Online,920903,23775.06,16060.43,2.103044114e-06,0.05,0.207315986,2059.68,11887.53,2.75,4928.95,2,0.030536201,726,3027.67,23775.06
1331,High-Value,15-04-2023,Saturday,April,Cash,Home & Kitchen,Decor,Q2,Himachal Pradesh,Retail Store,781099,27086.37,16787.99,,,0.323396601,1387.96,27086.37,3.06,8759.64,1,0.005566637,150.78,1578.33,27086.37
4115,High-Value,22-08-2023,Tuesday,August,Debit Card,Home & Kitchen,Furniture,Q3,Punjab,Retail Store,125639,112051,75872.02,1.338676139e-06,0.15,0.244022097,7802,22410.2,4.17,27342.92,5,0.009228476,1034.06,6210.78,112051
